Title,Year,Rating,Directors,Stars,Votes,Gross Worldwide,Production Company,total_minute,Genre_Cleaned,Primary_Language
Jaat,2025,6.8,Gopichand Malineni,"Sunny Deol,Randeep Hooda,Regena Cassandrra",5400,531499.0,"Mythri Movie Makers, People Media Factory",158,"Action, Drama, Thriller",Hindi
Chhaava,2025,7.4,Laxman Utekar,"Vicky Kaushal,Akshaye Khanna,Rashmika Mandanna",31000,8219603.0,Maddock Films,161,"Action, Drama, History",Hindi
Good Bad Ugly,2025,7.0,Adhik Ravichandran,"Trisha Krishnan,Ajith Kumar,Priya Prakash Varrier",8000,1462902.0,Mythri Movie Makers,139,"Action, Drama, Thriller",Tamil
Court - State vs a Nobody,2025,7.9,Ram Jagadeesh,"Priyadarshi Pulikonda,Harsh Roshan,Sri Devi",5400,133791.0,Wall Poster Cinema,155,Drama,Telugu
Deva,2025,6.8,Rosshan Andrrews,"Shahid Kapoor,Pooja Hegde,Saadhika Syal",24000,1091296.0,"Roy Kapur Films, Zee Studios",156,"Crime, Drama, Mystery",Hindi
Kesari Chapter 2,2025,8.4,Karan Singh Tyagi,"Akshay Kumar,Ananya Panday",5000,888665.0,"Cape of Good Films, Dharma Productions, Leo Media Collective",133,"Biography, Drama, History",Hindi
Dragon,2025,7.9,Ashwath Marimuthu,"Kayadu Lohar,Anupama Parameswaran,Pradeep Ranganathan",11000,738241.0,AGS Entertainment,157,"Comedy, Drama, Romance",Tamil
Pushpa the Rule,2024,6.1,Sukumar,"Allu Arjun,Rashmika Mandanna,Fahadh Faasil",56000,154621981.0,"AR Film Studio, Muttamsetty Media, Mythri Movie Makers",201,"Crime, Drama, Thriller",Telugu
Sikandar,2025,4.3,A.R. Murugadoss,"Salman Khan,Rashmika Mandanna,Ananth Mahadevan",49000,3019351.0,"Nadiadwala Grandson Entertainment, Salman Khan Films",148,"Action, Drama, Thriller",Hindi
Lucky Baskhar,2024,8.0,Venky Atluri,"Dulquer Salmaan,Meenaakshi Chaudhary,Tinnu Anand",32000,987421.0,"Fortune Four Cinemas, Sithara Entertainments",148,"Crime, Drama, Thriller",Telugu
The Diplomat,2025,7.5,Shivam Nair,"John Abraham,Sadia Khateeb,Kumud Mishra",6800,85823.0,"Fortune Films, JA Entertainment",130,"Thriller, Drama",Hindi
Chhorii 2,2025,4.6,Vishal Furia,"Nushrratt Bharuccha,Saurabh Goyal,Soha Ali Khan",1100,1021.0,"Abundantia Entertainment, Crypt TVPsych Productions",132,Horror,Hindi
Chhorii,2021,6.7,Vishal Furia,"Nushrratt Bharuccha,Mita Vashisht,Saurabh Goyal",6900,1444020.0,"Abundantia Entertainment, T-Series Films, Crypt TV",129,"Drama, Horror, Thriller",Hindi
12th Fail,2023,8.8,Vidhu Vinod Chopra,"Vikrant Massey,Medha Shankr,Anant Joshi",147000,138288.0,"Vinod Chopra Films, Zee Studios",147,"Drama, Biography",Hindi
Crazxy,2025,6.9,Girish Kohli,"Shilpa Shukla,Sohum Shah,Nimisha Sajayan",16000,100199.5,Sohum Shah FIlms,93,Thriller,Hindi
Perusu,2025,6.4,Ilango Ramanathan,"Chandini Tamilarasan,Vaibhav Reddy",1400,126875.5,"Baweja Studios, Emberlight Studios, Stone Bench Films",125,Comedy,Tamil
14 Days: Girlfriend Intlo,2025,7.2,Sriharsha Manne,"Ashok Chandra,Vennela Kishore",12000,1867.0,Satya Arts Entertainment,90,Comedy,Telugu
3 Idiots,2009,8.4,Rajkumar Hirani,"Aamir Khan,Madhavan,Mona Singh",458000,60262836.0,Vinod Chopra Productions,170,"Comedy, Drama",Hindi
Rekhachithram,2025,8.0,Jofin T. Chacko,"Asif Ali,Anaswara Rajan",12000,1747519.0,"Ann Mega Media Release, Kavya Film Company",147,"Drama, Mystery, Thriller",Malayalam
Alappuzha Gymkhana,2025,7.3,Khalid Rahman,"Lukman Avaran,Franco Francis",2000,1219824.0,"Plan B Motion Pictures, Reelistic Studios",139,"Action, Comedy, Drama",Malayalam
Officer on Duty,2025,7.5,Jithu Ashraf,Kunchacko Boban,7400,1266113.0,"Martin Prakkat Films, The Green Room",134,"Action, Crime, Thriller",Malayalam
Praavinkoodu Shappu,2025,6.6,Sreeraj Sreenivasan,"Soubin Shahir,Basil Joseph,Chandini Sreedharan",2400,197118.0,Anwar Rasheed Entertainment,146,Thriller,Malayalam
Superboys of Malegaon,2024,7.8,Reema Kagti,"Adarsh Gourav,Shashank Arora,Vineet Kumar Singh",3000,176169.0,"Excel Entertainment, Tiger Baby Films",127,"Comedy, Drama",Hindi
Rise Roar Revolt,2022,7.8,S.S. Rajamouli,"N.T. Rama Rao Jr.,Ram Charan,Ajay Devagn",178000,166602994.0,DVV Entertainment,187,"Action, Adventure, Drama",Telugu
Maharaja,2024,8.4,Nithilan Saminathan,"Vijay Sethupathi,Anurag Kashyap,Mamta Mohandas",67000,975543.0,"Passion Studios, The Route",141,"Crime, Drama, Thriller",Tamil
Sky Force,2025,6.9,Abhishek Anil KapurSandeep Kewlani,"Akshay Kumar,Veer Pahariya,Nimrat Kaur",11000,313178.0,"Jio Studios, Maddock Films",125,"Action, Thriller",Hindi
Kaushaljis vs Kaushal,2025,6.5,Seemaa Desai,"Ashutosh Rana,Sheeba Chaddha,Isha Talwar",7800,50013.0,"Jio Studios, Merry Go Round Studios, Mumbai Talkeez",131,Drama,Hindi
Tumbbad,2018,8.2,Rahi Anil BarveAnand GandhiAdesh Prasad,"Sohum Shah,Jyoti Malshe,Anita Date",68000,1691980.0,"Colour Yellow Productions, Sohum Shah FIlms, Film i Väst",108,"Fantasy, Horror, Thriller",Hindi
Bazooka,2025,7.8,Deeno Dennis,"Gautham Vasudev Menon,Shine Tom Chacko",1900,592400.0,"Jumping Tomato Studios, Saregama India, Theatre of Dreams",154,"Action, Crime, Thriller",Malayalam
